team_nm,name,named_in_squad,bat_pts,rs,four,six,bat_inn,bow_pts,wkt,bow_inn,max_bat_pts,max_rs,max_bow_pts,max_wkt
Lucknow Super Giants,A Badoni,4,89.0,76.0,5.0,2.0,4,0.0,0.0,0,38.0,30.0,0.0,
Lucknow Super Giants,A Mishra,2,0.0,0.0,0.0,0.0,0,75.5,3.0,2,0.0,,50.5,2.0
Lucknow Super Giants,Avesh Khan,4,-2.0,0.0,0.0,0.0,1,75.0,3.0,4,0.0,0.0,50.0,2.0
Lucknow Super Giants,DJ Hooda,5,40.0,37.0,1.0,1.0,5,0.0,0.0,1,17.0,17.0,0.0,0.0
Lucknow Super Giants,JD Unadkat,3,10.0,9.0,1.0,0.0,1,25.0,1.0,3,10.0,9.0,25.0,1.0
Lucknow Super Giants,K Gowtham,3,28.0,24.0,0.0,2.0,3,25.5,1.0,3,19.0,17.0,25.0,1.0
Lucknow Super Giants,KH Pandya,5,90.0,76.0,6.0,3.0,5,104.0,4.0,4,44.0,34.0,79.0,3.0
Lucknow Super Giants,KL Rahul,5,190.0,155.0,15.0,2.0,5,0.0,0.0,0,96.0,74.0,0.0,
Lucknow Super Giants,KR Mayers,5,227.0,168.0,13.0,12.0,5,2.0,0.0,3,101.0,73.0,2.0,0.0
Lucknow Super Giants,MA Wood,4,14.0,11.0,1.0,1.0,2,307.0,11.0,4,13.0,10.0,153.0,5.0
Lucknow Super Giants,MP Stoinis,5,161.0,123.0,8.0,9.0,5,0.0,0.0,0,93.0,65.0,0.0,
Lucknow Super Giants,N Pooran,5,196.0,141.0,9.0,14.0,5,0.0,0.0,0,92.0,62.0,0.0,
Lucknow Super Giants,R Shepherd,1,-2.0,0.0,0.0,0.0,1,0.0,0.0,0,-2.0,0.0,0.0,
Lucknow Super Giants,Ravi Bishnoi,5,6.0,6.0,0.0,0.0,2,204.0,8.0,5,3.0,3.0,79.0,3.0
Lucknow Super Giants,Yash Thakur,2,0.0,0.0,0.0,0.0,0,25.0,1.0,2,0.0,,25.0,1.0
Lucknow Super Giants,Yudhvir Singh,1,-2.0,0.0,0.0,0.0,1,50.0,2.0,1,-2.0,0.0,50.0,2.0
Rajasthan Royals,A Zampa,2,1.0,1.0,0.0,0.0,1,75.0,3.0,2,1.0,1.0,50.0,2.0
Rajasthan Royals,D Padikkal,4,103.0,87.0,8.0,2.0,4,0.0,0.0,0,47.0,38.0,0.0,
Rajasthan Royals,Dhruv Jurel,4,79.0,62.0,5.0,4.0,4,0.0,0.0,0,43.0,32.0,0.0,
Rajasthan Royals,JC Buttler,5,274.0,204.0,20.0,8.0,5,0.0,0.0,0,104.0,79.0,0.0,
Rajasthan Royals,JO Holder,4,-1.0,1.0,0.0,0.0,2,75.66666666666667,3.0,4,1.0,1.0,50.0,2.0
Rajasthan Royals,KM Asif,2,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.0,,0.0,0.0
Rajasthan Royals,KR Sen,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,,0.0,0.0
Rajasthan Royals,M Ashwin,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,,0.0,0.0
Rajasthan Royals,NA Saini,1,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,,0.0,0.0
Rajasthan Royals,R Ashwin,5,51.0,41.0,2.0,3.0,4,176.0,7.0,5,39.0,30.0,50.5,2.0
Rajasthan Royals,R Parag,4,45.0,39.0,2.0,2.0,4,0.0,0.0,0,25.0,20.0,0.0,
Rajasthan Royals,SO Hetmyer,5,244.0,183.0,7.0,15.0,5,0.0,0.0,0,80.0,56.0,0.0,
Rajasthan Royals,SV Samson,5,214.0,157.0,11.0,11.0,5,0.0,0.0,0,87.0,60.0,0.0,
Rajasthan Royals,Sandeep Sharma,3,0.0,0.0,0.0,0.0,0,129.0,5.0,3,0.0,,79.0,3.0
Rajasthan Royals,TA Boult,4,-2.0,0.0,0.0,0.0,1,154.5,6.0,4,0.0,0.0,79.0,3.0
Rajasthan Royals,YBK Jaiswal,5,187.0,136.0,23.0,2.0,5,0.0,0.0,0,85.0,60.0,0.0,
Rajasthan Royals,YS Chahal,5,0.0,0.0,0.0,0.0,0,291.0,11.0,5,0.0,,112.0,4.0
